type,data_type,purpose,count
data_collected,Calendar events,App functionality,200
data_shared,SMS or MMS,App functionality,43
data_shared,SMS or MMS,Account management,21
data_shared,Contacts,App functionality,89
data_shared,Photos,Account management,125
data_collected,Emails,Developer communications,276
data_collected,Emails,"Fraud prevention, security, and compliance",154
data_collected,Political or religious beliefs,Analytics,51
data_collected,Political or religious beliefs,"Fraud prevention, security, and compliance",26
data_collected,Political or religious beliefs,Account management,33
data_collected,Other financial info,Account management,94
data_collected,Health info,Analytics,135
data_collected,Health info,"Fraud prevention, security, and compliance",31
data_collected,Fitness info,"Fraud prevention, security, and compliance",27
data_collected,Fitness info,Account management,48
data_collected,Videos,Developer communications,57
data_collected,Videos,Account management,129
data_collected,Voice or sound recordings,"Fraud prevention, security, and compliance",91
data_collected,Voice or sound recordings,Account management,43
data_collected,Music files,App functionality,259
data_collected,Music files,Analytics,47
data_collected,Music files,Developer communications,24
data_collected,Music files,Advertising or marketing,31
data_collected,Music files,"Fraud prevention, security, and compliance",36
data_collected,Music files,Personalization,56
data_collected,Music files,Account management,23
data_collected,Other audio files,Account management,22
data_collected,Files and docs,Developer communications,59
data_collected,Files and docs,"Fraud prevention, security, and compliance",139
data_collected,Files and docs,Personalization,98
data_collected,Calendar events,Analytics,48
data_collected,Calendar events,Developer communications,28
data_collected,Calendar events,Advertising or marketing,32
data_collected,Calendar events,"Fraud prevention, security, and compliance",28
data_collected,Calendar events,Personalization,52
data_collected,Calendar events,Account management,26
data_collected,In-app search history,Account management,75
data_collected,Installed apps,Developer communications,143
data_collected,Installed apps,Account management,81
data_collected,Web browsing history,Developer communications,41
data_collected,Web browsing history,Account management,33
data_shared,Phone number,Developer communications,162
data_shared,User payment info,Developer communications,26
data_shared,Race and ethnicity,App functionality,50
data_shared,Photos,Developer communications,48
data_shared,Web browsing history,Developer communications,24
data_shared,Political or religious beliefs,App functionality,37
data_shared,Sexual orientation,App functionality,99
data_shared,Other in-app messages,"Fraud prevention, security, and compliance",133
data_collected,Emails,Personalization,109
data_shared,Other user-generated content,Account management,69
data_shared,Web browsing history,Account management,16
data_collected,Fitness info,Developer communications,32
data_collected,Emails,Analytics,145
data_collected,Health info,Advertising or marketing,35
data_shared,Other user-generated content,Developer communications,69
data_shared,User payment info,Analytics,82
data_collected,Voice or sound recordings,Developer communications,23
data_shared,Other financial info,Personalization,16
data_shared,Race and ethnicity,"Fraud prevention, security, and compliance",24
data_shared,Political or religious beliefs,"Fraud prevention, security, and compliance",23
data_shared,Sexual orientation,"Fraud prevention, security, and compliance",32
data_shared,Other financial info,Advertising or marketing,22
data_shared,Health info,Advertising or marketing,18
data_shared,Fitness info,Advertising or marketing,26
data_collected,Race and ethnicity,"Fraud prevention, security, and compliance",15
data_shared,Videos,"Fraud prevention, security, and compliance",56
data_shared,Voice or sound recordings,"Fraud prevention, security, and compliance",26
data_shared,Precise location,Account management,75
data_shared,Race and ethnicity,Developer communications,24
data_shared,Race and ethnicity,Account management,16
data_shared,Political or religious beliefs,Analytics,24
data_shared,Political or religious beliefs,Developer communications,20
data_shared,Political or religious beliefs,Account management,7
data_shared,Sexual orientation,Analytics,61
data_shared,Sexual orientation,Developer communications,29
data_shared,Sexual orientation,Account management,35
data_shared,Other info,Developer communications,166
data_shared,User payment info,Advertising or marketing,47
data_shared,User payment info,Personalization,28
data_shared,Credit score,Analytics,12
data_shared,Credit score,Developer communications,7
data_shared,Credit score,Advertising or marketing,6
data_shared,Credit score,Personalization,8
data_shared,Credit score,Account management,9
data_shared,Other financial info,Analytics,28
data_shared,Other financial info,Developer communications,15
data_shared,Other financial info,"Fraud prevention, security, and compliance",54
data_shared,Other financial info,Account management,23
data_shared,Health info,Analytics,37
data_shared,Health info,Developer communications,5
data_shared,Health info,"Fraud prevention, security, and compliance",7
data_shared,Health info,Account management,10
data_shared,Fitness info,Analytics,61
data_shared,Fitness info,Developer communications,8
data_shared,Fitness info,"Fraud prevention, security, and compliance",8
data_shared,Fitness info,Account management,18
data_shared,Emails,Analytics,68
data_shared,Emails,Advertising or marketing,91
data_shared,Emails,"Fraud prevention, security, and compliance",66
data_shared,Emails,Personalization,58
data_shared,Other in-app messages,Advertising or marketing,111
data_shared,Other in-app messages,Personalization,95
data_shared,Other in-app messages,Account management,77
data_shared,Videos,Analytics,34
data_shared,Videos,Developer communications,25
data_shared,Videos,Advertising or marketing,16
data_shared,Videos,Account management,39
data_shared,Voice or sound recordings,Analytics,22
data_shared,Voice or sound recordings,Developer communications,13
data_shared,Voice or sound recordings,Advertising or marketing,10
data_shared,Voice or sound recordings,Personalization,15
data_shared,Voice or sound recordings,Account management,18
data_shared,Music files,Analytics,9
data_shared,Music files,Developer communications,6
data_shared,Music files,Advertising or marketing,8
data_shared,Music files,"Fraud prevention, security, and compliance",7
data_shared,Music files,Personalization,12
data_shared,Music files,Account management,5
data_shared,Other audio files,Analytics,9
data_shared,Other audio files,Developer communications,6
data_shared,Other audio files,Advertising or marketing,7
data_shared,Other audio files,"Fraud prevention, security, and compliance",6
